ID,Target Pressure (bar)
0,0.11913693
1,0.10828656
2,0.11085469
3,0.086295505
4,0.074538893
5,0.062578105
6,0.062914317
7,0.055122113
8,0.069686515
9,0.65530063
10,0.4891759
11,0.33508518
12,0.64591007
13,0.49349122
14,0.34132696
15,0.45070782
16,0.35256432
17,0.24575902
18,0.36344445
19,0.29499263
20,0.22299893
21,0.16391203
22,0.12823775
23,0.11272511
24,0.15567113
25,0.1294477
26,0.11053187
27,0.11158634
28,0.12256649
29,0.15213765
30,0.06865239
31,0.071199366
32,0.07161671
33,0.04299267
34,0.044969298
35,0.067716814
36,0.61373195
37,0.56968303
38,0.48041443
39,0.49671332
40,0.47232983
41,0.40349348
42,0.28959872
43,0.28016748
44,0.24034238
45,0.33980886
46,0.33951043
47,0.31399744
48,0.22864129
49,0.1487769
50,0.10990228
51,0.10355765
52,0.1044099
53,0.10776874
54,0.082722258
55,0.088791434
56,0.10726726
57,0.054360396
58,0.055234678
59,0.05446766
60,0.036180725
61,0.037105127
62,0.054398682
63,0.47588753
64,0.43210758
65,0.35747403
66,0.4125008
67,0.38347939
68,0.32104229
69,0.25792389
70,0.24405165
71,0.20515129
72,0.25532321
73,0.24941415
74,0.22604683
75,0.16609132
76,0.11578742
77,0.091047371
78,0.089475711
79,0.08836636
80,0.089308934
81,0.10307467
82,0.091885408
83,0.092111387
84,0.074965824
85,0.063587516
86,0.052474029
87,0.054866924
88,0.047220681
89,0.058336478
90,0.59002344
91,0.43129285
92,0.28995802
93,0.58164635
94,0.43505492
95,0.29528938
96,0.40720306
97,0.31196738
98,0.2134959
99,0.31921763
100,0.25390947
101,0.18845494
102,0.13914832
103,0.10924716
104,0.096206421
105,0.13801731
106,0.11260053
107,0.094360534
108,0.12757406
109,0.11835545
110,0.12377571
111,0.080975854
112,0.071425854
113,0.061208179
114,0.052186372
115,0.046719693
116,0.060038881
117,0.76548057
118,0.58311889
119,0.40654837
120,0.6449468
121,0.50472758
122,0.35704814
123,0.38748257
124,0.31115599
125,0.22265663
126,0.40629125
127,0.33678864
128,0.25955954
129,0.1899985
130,0.12936966
131,0.099593632
132,0.13132158
133,0.11182043
134,0.09767692
135,0.20813481
136,0.19245279
137,0.20166646
138,0.15730217
139,0.13770002
140,0.11691787
141,0.1193792
142,0.10597797
143,0.13883255
144,1.2578876
145,0.94664463
146,0.64975403
147,1.32982037
148,1.02404865
149,0.70855221
150,0.97108413
151,0.76549942
152,0.53292151
153,0.67413855
154,0.5540426
155,0.42204289
156,0.30476229
157,0.24999369
158,0.23168225
159,0.31224965
160,0.26250126
161,0.22687922
162,0.12598633
163,0.12994044
164,0.15133459
165,0.10006841
166,0.097627943
167,0.092307252
168,0.07964655
169,0.078565011
170,0.11344695
171,0.69937438
172,0.60272685
173,0.47266306
174,0.77127206
175,0.67961863
176,0.53713006
177,0.59729929
178,0.53619383
179,0.42453743
180,0.38659603
181,0.3601124
182,0.31066962
183,0.22628522
184,0.19416748
185,0.18756
186,0.20106225
187,0.18983021
188,0.18374334
189,0.057934094
190,0.0573132
191,0.063446302
192,0.045109797
193,0.042416554
194,0.038754534
195,0.035232225
196,0.033498138
197,0.045278929
198,0.32057216
199,0.26663276
200,0.20342592
201,0.33674594
202,0.28601797
203,0.21994779
204,0.254855
205,0.22051179
206,0.17010302
207,0.17397298
208,0.15594184
209,0.1302844
210,0.097133256
211,0.081208135
212,0.075805666
213,0.087717401
214,0.079831774
215,0.074381435
216,0.096956952
217,0.086485519
218,0.086697073
219,0.076006169
220,0.064457019
221,0.053179305
222,0.059741556
223,0.051357695
224,0.063549086
225,0.56105543
226,0.41068534
227,0.27657268
228,0.60404092
229,0.45136913
230,0.30597953
231,0.46029555
232,0.35162539
233,0.2396765
234,0.30133142
235,0.23996092
236,0.17836535
237,0.13189136
238,0.11183308
239,0.10617578
240,0.15281288
241,0.12444253
242,0.10412084
243,0.081403734
244,0.072739761
245,0.072914965
246,0.058531505
247,0.049824793
248,0.041285336
249,0.042380909
250,0.036598563
251,0.044997961
252,0.43438409
253,0.32017635
254,0.21746544
255,0.41930538
256,0.31622274
257,0.21693671
258,0.29044368
259,0.22425953
260,0.15514073
261,0.24235949
262,0.19383725
263,0.14487787
264,0.10771641
265,0.083464956
266,0.072384638
267,0.10289459
268,0.084384232
269,0.071030205
270,0.34937233
271,0.3876418
272,0.49265267
273,0.21269371
274,0.22143914
275,0.22287564
276,0.1318803
277,0.13859753
278,0.21810463
279,2.45944645
280,2.26074392
281,1.86487239
282,2.03396926
283,1.92117547
284,1.60740468
285,1.15831891
286,1.11573989
287,0.93825725
288,1.23436538
289,1.23314942
290,1.12973046
291,0.79217884
292,0.51251396
293,0.38148738
294,0.35697492
295,0.36025674
296,0.3732238
297,0.10271023
298,0.091563836
299,0.091788954
300,0.072020775
301,0.061125046
302,0.050475683
303,0.050927861
304,0.0438738
305,0.054126313
306,0.55147264
307,0.40386134
308,0.27213471
309,0.52043961
310,0.3903753
311,0.26593479
312,0.35051099
313,0.26947379
314,0.18530871
315,0.30854972
316,0.24559223
317,0.18244068
318,0.13482394
319,0.10199505
320,0.086603145
321,0.12381653
322,0.1012112
323,0.084956842
324,0.065727093
325,0.060034868
326,0.061384904
327,0.047550434
328,0.041382531
329,0.035051487
330,0.034631391
331,0.030549439
332,0.038155767
333,0.33899795
334,0.25725997
335,0.17991126
336,0.32748256
337,0.25414416
338,0.17948115
339,0.22863182
340,0.18141447
341,0.12906646
342,0.19150459
343,0.15722987
344,0.12066222
345,0.090137204
346,0.07012146
347,0.060945203
348,0.082709005
349,0.069469265
350,0.059821983
351,0.085087209
352,0.079148102
353,0.082642187
