ID,Target Pressure (bar)
0,0.09170185
1,0.090108335
2,0.09007111
3,0.06906942
4,0.0812147
5,0.049822822
6,0.05300078
7,0.045617867
8,0.05131176
9,0.70819545
10,0.67282736
11,0.534982
12,0.69845706
13,0.65920126
14,0.51284164
15,0.39159375
16,0.18947466
17,0.22256956
18,0.22138478
19,0.23007815
20,0.17167597
21,0.15563086
22,0.13473295
23,0.11509901
24,0.15819272
25,0.15556164
26,0.12039117
27,0.11185208
28,0.13345996
29,0.12361833
30,0.07474648
31,0.059288092
32,0.0630582
33,0.071159884
34,0.078097105
35,0.08099609
36,0.41073892
37,0.45064408
38,0.29196298
39,0.3788419
40,0.4271892
41,0.3673623
42,0.23962697
43,0.25916326
44,0.20244981
45,0.21818101
46,0.28251946
47,0.23957513
48,0.12966625
49,0.14629255
50,0.10666607
51,0.09434559
52,0.10500944
53,0.09610883
54,0.08378651
55,0.07802254
56,0.094636515
57,0.059858136
58,0.049054906
59,0.043327875
60,0.054582864
61,0.04815124
62,0.0580814
63,0.31841123
64,0.48502317
65,0.4234949
66,0.37212303
67,0.42121345
68,0.32017937
69,0.32158762
70,0.26959565
71,0.2698075
72,0.14220521
73,0.17420468
74,0.12713419
75,0.12277987
76,0.13069531
77,0.13163945
78,0.1337268
79,0.14142089
80,0.12874535
81,0.14127675
82,0.13324535
83,0.11079354
84,0.09362506
85,0.079594895
86,0.054548986
87,0.06489054
88,0.050638538
89,0.07491122
90,0.72599685
91,0.47647
92,0.24927872
93,0.6546986
94,0.37019855
95,0.23901176
96,0.51483303
97,0.3013245
98,0.24250259
99,0.44138005
100,0.3199793
101,0.16895516
102,0.10530773
103,0.07785269
104,0.089913175
105,0.13835718
106,0.12040295
107,0.08579962
108,0.11743081
109,0.10445702
110,0.11877055
111,0.04802195
112,0.05067466
113,0.04929363
114,0.050958145
115,0.050505124
116,0.06937829
117,0.44004187
118,0.35638204
119,0.33871573
120,0.3707055
121,0.33467144
122,0.3272052
123,0.3270763
124,0.29931712
125,0.31972644
126,0.26334172
127,0.27263707
128,0.2431856
129,0.17875189
130,0.15771693
131,0.13464624
132,0.13216306
133,0.15517184
134,0.13324423
135,0.1064069
136,0.15490763
137,0.11972696
138,0.11776675
139,0.13105139
140,0.09462603
141,0.077642955
142,0.08617115
143,0.09873657
144,0.75420415
145,0.66406244
146,0.50464225
147,0.71878946
148,0.6093255
149,0.4980778
150,0.6427922
151,0.50261235
152,0.45156807
153,0.48637632
154,0.3164484
155,0.25931507
156,0.1934815
157,0.15500563
158,0.15658319
159,0.23663273
160,0.23200516
161,0.18869767
162,0.15868485
163,0.14849728
164,0.17416012
165,0.15385672
166,0.17680672
167,0.1465861
168,0.108094
169,0.12122077
170,0.14804246
171,0.47448575
172,0.5989053
173,0.5111746
174,0.52399224
175,0.63733613
176,0.5211773
177,0.44370568
178,0.60896474
179,0.4821654
180,0.38563684
181,0.38650575
182,0.334865
183,0.23786838
184,0.2517799
185,0.20075995
186,0.22538655
187,0.21950243
188,0.1882944
189,0.0872188
190,0.08494157
191,0.08124001
192,0.04777011
193,0.048910424
194,0.03487152
195,0.040276952
196,0.032042697
197,0.044535227
198,0.36762643
199,0.3916725
200,0.26008135
201,0.29531172
202,0.32382256
203,0.30031842
204,0.18157618
205,0.22580165
206,0.15955529
207,0.2408096
208,0.19795458
209,0.16007525
210,0.12263674
211,0.09005493
212,0.09171016
213,0.07903735
214,0.072597295
215,0.07847406
216,0.10998929
217,0.09627305
218,0.08124336
219,0.08033086
220,0.067570254
221,0.06746309
222,0.05449089
223,0.066248015
224,0.07963044
225,0.5205427
226,0.44295964
227,0.27334332
228,0.6218718
229,0.441249
230,0.2970884
231,0.44287357
232,0.37508845
233,0.236943
234,0.23360673
235,0.15992796
236,0.13106516
237,0.11351205
238,0.09061719
239,0.09727889
240,0.14816754
241,0.15058519
242,0.11058685
243,0.11818805
244,0.09974659
245,0.12664577
246,0.05799685
247,0.05160921
248,0.042140804
249,0.055057686
250,0.039337125
251,0.06095758
252,0.53886646
253,0.35344535
254,0.30116972
255,0.51902544
256,0.2763044
257,0.23943491
258,0.3779497
259,0.2617008
260,0.26060373
261,0.19224147
262,0.1920901
263,0.14282714
264,0.12820242
265,0.06855872
266,0.06929301
267,0.09305508
268,0.06265549
269,0.06316752
270,0.16764098
271,0.2056044
272,0.2557048
273,0.20824032
274,0.16777666
275,0.2410836
276,0.10734112
277,0.08811432
278,0.1945468
279,2.0886333
280,1.8432326
281,1.4855068
282,2.506628
283,2.7529583
284,2.3640769
285,2.5714216
286,1.6974794
287,1.5108147
288,0.62188077
289,0.5631777
290,0.5792883
291,0.3670018
292,0.3868448
293,0.3888566
294,0.2660877
295,0.2794534
296,0.2685511
297,0.09896286
298,0.0961978
299,0.11731075
300,0.05046823
301,0.047048695
302,0.051879708
303,0.037254766
304,0.036924686
305,0.05390591
306,0.45445657
307,0.3528463
308,0.21711653
309,0.58074516
310,0.4432913
311,0.2473055
312,0.33644965
313,0.24001938
314,0.13961975
315,0.2400981
316,0.2212463
317,0.21401829
318,0.1560208
319,0.098282956
320,0.091528304
321,0.08046195
322,0.08118263
323,0.07103526
324,0.109318
325,0.10472278
326,0.10847244
327,0.045275424
328,0.057931297
329,0.03962923
330,0.046366643
331,0.037870843
332,0.053011756
333,0.39704844
334,0.28618687
335,0.2523047
336,0.40908167
337,0.27576542
338,0.19382542
339,0.28345326
340,0.25073144
341,0.17461205
342,0.231265
343,0.23394261
344,0.1703983
345,0.13865794
346,0.11131593
347,0.082598336
348,0.16396932
349,0.10709057
350,0.08167603
351,0.08980119
352,0.10254065
353,0.07545777
354,0.06895193
355,0.10066009
356,0.054779816
357,0.06682697
358,0.05829465
359,0.073514596
360,0.7951271
361,0.4251691
362,0.31527027
363,0.6356644
364,0.4210886
365,0.3764834
366,0.43289685
367,0.36633533
368,0.23818985
369,0.3093421
370,0.2200293
371,0.1974098
372,0.10628621
373,0.08766293
374,0.080060504
375,0.16281575
376,0.11008085
377,0.07825119
378,0.19493654
379,0.17500629
380,0.18200518
381,0.1698857
382,0.13581094
383,0.1542882
384,0.10710151
385,0.13106275
386,0.20524994
387,1.5333672
388,1.1534477
389,0.9720852
390,1.4940523
391,1.1130943
392,1.2416365
393,1.2014924
394,0.87992775
395,0.94616777
396,0.56250787
397,0.64173055
398,0.5875678
399,0.4510546
400,0.3864408
401,0.27952793
402,0.27005953
403,0.24256518
404,0.2608592
405,0.092945255
406,0.094451256
407,0.13041829
408,0.078066334
409,0.056911808
410,0.054477196
411,0.04097182
412,0.04328295
413,0.08742931
414,0.51059157
415,0.3974969
416,0.35999295
417,0.5559602
418,0.6632939
419,0.49129605
420,0.48990145
421,0.49751753
422,0.39951855
423,0.4933662
424,0.38958457
425,0.24669927
426,0.19712923
427,0.18311211
428,0.1886398
429,0.13983278
430,0.17320408
431,0.15711628
432,0.098837376
433,0.07477716
434,0.10276588
435,0.054138936
436,0.038848676
437,0.038081016
438,0.042386986
439,0.04347776
440,0.060267977
441,0.6931609
442,0.608279
443,0.7008325
444,0.72831845
445,0.5986957
446,0.4749913
447,0.43696693
448,0.3129538
449,0.23265556
450,0.4737954
451,0.36646184
452,0.3039292
453,0.16628426
454,0.14135528
455,0.16322026
456,0.20551085
457,0.12092526
458,0.11091229
459,0.14655666
460,0.1182441
461,0.08292133
462,0.067166
463,0.06285082
464,0.061310306
465,0.05806487
466,0.055847727
467,0.07555191
468,0.7323929
469,0.43174025
470,0.33807507
471,0.72779906
472,0.4304973
473,0.26086083
474,0.5295948
475,0.36026323
476,0.239634
477,0.35327917
478,0.25623015
479,0.1808782
480,0.14545214
481,0.1019736
482,0.11310119
483,0.18055864
484,0.1344574
485,0.10731194
486,0.08433158
487,0.086588144
488,0.11798525
489,0.08359156
490,0.07075128
491,0.059266664
492,0.06278204
493,0.058836102
494,0.07339319
495,0.40409833
496,0.4324628
497,0.3635105
498,0.34187785
499,0.44660845
500,0.39036775
501,0.2518917
502,0.18256462
503,0.19438799
504,0.26311946
505,0.31698376
506,0.28680164
507,0.2070502
508,0.11323038
509,0.10488625
510,0.09630545
511,0.10497176
512,0.1004678
513,0.10871533
514,0.097659364
515,0.09184995
516,0.057841115
517,0.06020437
518,0.03741044
519,0.03719383
520,0.031314805
521,0.042423137
522,0.8423084
523,0.3929267
524,0.21752182
525,0.82274693
526,0.43995896
527,0.26828375
528,0.27008507
529,0.35018787
530,0.18039976
531,0.30195215
532,0.22023933
533,0.17010032
534,0.11792901
535,0.09622804
536,0.062296085
537,0.09898527
538,0.082677774
539,0.065882415
540,0.16803215
541,0.15835966
542,0.17457104
543,0.16217521
544,0.1134758
545,0.09201133
546,0.07286423
547,0.070113406
548,0.10130061
549,0.9419207
550,0.83837783
551,0.7087019
552,0.8206556
553,0.9224199
554,0.60133445
555,0.43753257
556,0.53808236
557,0.48610595
558,0.4367028
559,0.38882244
560,0.35885248
561,0.3168613
562,0.2010449
563,0.17532887
564,0.12513919
565,0.159576
566,0.15922521
567,0.08188879
568,0.0688247
569,0.06361956
570,0.031317435
571,0.039364323
572,0.04078693
573,0.03467788
574,0.029835448
575,0.041435603
576,0.25456113
577,0.24016169
578,0.2286023
579,0.19773223
580,0.18619119
581,0.24143322
582,0.15307817
583,0.12895474
584,0.1192802
585,0.19672573
586,0.16028468
587,0.13594152
588,0.12652801
589,0.094903804
590,0.06835189
591,0.0692434
592,0.060788617
593,0.065379344
594,0.07916901
595,0.08849741
596,0.09173036
597,0.056724384
598,0.049219
599,0.0770834
600,0.042961083
601,0.042581197
602,0.07003234
603,0.44507483
604,0.4225162
605,0.30528837
606,0.52482843
607,0.4772058
608,0.3720512
609,0.32615563
610,0.32597426
611,0.27242562
612,0.3279244
613,0.26856297
614,0.22791135
615,0.14421958
616,0.10235043
617,0.10924654
618,0.12232418
619,0.12739025
620,0.11151876
621,0.17434864
622,0.17237094
623,0.12728743
624,0.16640405
625,0.15906179
626,0.12826471
627,0.23350427
628,0.14729224
629,0.11377668
630,0.89775336
631,0.41829875
632,0.26157555
633,0.82454914
634,0.42788693
635,0.28149456
636,0.5894903
637,0.38540173
638,0.27836326
639,0.44975972
640,0.4428238
641,0.3087217
642,0.1626362
643,0.14553924
644,0.1429327
645,0.23560034
646,0.16438207
647,0.18424127
648,0.090743445
649,0.10014901
650,0.13656068
651,0.10301217
652,0.08809789
653,0.073555514
654,0.05194775
655,0.055668473
656,0.08502985
657,0.54348624
658,0.59253603
659,0.5180122
660,0.5103056
661,0.53080493
662,0.4586647
663,0.5145657
664,0.42192885
665,0.3158562
666,0.40665933
667,0.41328856
668,0.34171548
669,0.31571513
670,0.2096695
671,0.16223882
672,0.15957318
673,0.16694708
674,0.1418674
675,0.20201933
676,0.17266823
677,0.19111475
678,0.14326924
679,0.11342333
680,0.13455486
681,0.09727288
682,0.09958791
683,0.13079254
684,0.8046071
685,0.7103535
686,0.45022824
687,0.79833907
688,0.6281774
689,0.4289143
690,0.54001135
691,0.5315695
692,0.4215179
693,0.4884296
694,0.3824268
695,0.29908103
696,0.1958169
697,0.15726121
698,0.16520151
699,0.1980102
700,0.18476826
701,0.20681958
702,0.11073934
703,0.10698531
704,0.0876298
705,0.06090116
706,0.062169723
707,0.0703546
708,0.0482074
709,0.042444568
710,0.03917
711,0.7426218
712,0.5228738
713,0.3455522
714,0.6768877
715,0.551382
716,0.44084904
717,0.4203612
718,0.39264333
719,0.18398014
720,0.2448196
721,0.22092053
722,0.21019636
723,0.14294302
724,0.11792806
725,0.09257116
726,0.12064546
727,0.11387626
728,0.075956956
729,0.1792863
730,0.2042955
731,0.1878497
732,0.1952519
733,0.20938747
734,0.14125496
735,0.14075975
736,0.17711462
737,0.17792135
738,0.64867604
739,0.5644633
740,0.4183409
741,0.59827816
742,0.6505947
743,0.44019744
744,0.6219918
745,0.53353584
746,0.356148
747,0.66848224
748,0.65567076
749,0.3801568
750,0.27341393
751,0.227712
752,0.2051273
753,0.29096976
754,0.22484888
755,0.16130619
756,0.21634655
757,0.20379855
758,0.27170962
759,0.13531496
760,0.12725472
761,0.12142757
762,0.13054173
763,0.11764562
764,0.13364558
765,1.3458985
766,1.184747
767,0.79521215
768,1.2931075
769,1.1371907
770,0.9116257
771,1.0627332
772,0.93923813
773,0.79688305
774,0.62780386
775,0.645724
