ID,Target Pressure (bar)
0,0.078898283
1,0.082289743
2,0.078651428
3,0.067148456
4,0.062208658
5,0.056427887
6,0.052450096
7,0.054276699
8,0.052580169
9,0.45153829
10,0.29568946
11,0.20697015
12,0.7122062
13,0.41884865
14,0.27123489
15,0.5151321
16,0.33268396
17,0.22975686
18,0.20750027
19,0.15131595
20,0.1069829
21,0.1083377
22,0.10377061
23,0.094276074
24,0.16129387
25,0.12562866
26,0.092938152
27,0.12943769
28,0.1292605
29,0.14371789
30,0.095090252
31,0.090070827
32,0.093127857
33,0.063245463
34,0.061039611
35,0.065246705
36,0.57616959
37,0.52090963
38,0.52194669
39,0.61661466
40,0.55741179
41,0.55488937
42,0.31249734
43,0.28647527
44,0.29441199
45,0.3461712
46,0.32250296
47,0.32001176
48,0.32067232
49,0.24101941
50,0.12242404
51,0.12039926
52,0.11371464
53,0.12118375
54,0.073793026
55,0.078826734
56,0.091843804
57,0.054744424
58,0.056910441
59,0.061485878
60,0.039406533
61,0.044630282
62,0.054362657
63,0.2640319
64,0.25835821
65,0.26384212
66,0.41766319
67,0.40346845
68,0.38870201
69,0.2735167
70,0.26571427
71,0.27391588
72,0.16477811
73,0.16141221
74,0.16567512
75,0.16300776
76,0.15978789
77,0.1135449
78,0.10110198
79,0.10532167
80,0.11395162
81,0.11850986
82,0.10904718
83,0.094192245
84,0.056937972
85,0.048865118
86,0.043669378
87,0.047365839
88,0.047659806
89,0.048471179
90,0.74205259
91,0.40282137
92,0.23487521
93,0.71745937
94,0.37862239
95,0.2236337
96,0.56118066
97,0.33203092
98,0.21530898
99,0.40832047
100,0.24745363
101,0.1432955
102,0.13825653
103,0.075779813
104,0.074625312
105,0.14800358
106,0.10956051
107,0.076335449
108,0.095454282
109,0.117097
110,0.11788396
111,0.045702484
112,0.046783406
113,0.046350887
114,0.03231567
115,0.040377671
116,0.047678721
117,0.29625702
118,0.31177021
119,0.25617517
120,0.3239705
121,0.30493567
122,0.23956663
123,0.23003603
124,0.22459601
125,0.19251934
126,0.2320287
127,0.2350464
128,0.18671193
129,0.18328151
130,0.096451194
131,0.082959714
132,0.079998744
133,0.090979889
134,0.084314909
135,0.17715747
136,0.18279908
137,0.20055483
138,0.15752223
139,0.13658733
140,0.14053393
141,0.11576686
142,0.11191172
143,0.12737733
144,1.15880432
145,0.86588177
146,0.70090955
147,1.14796459
148,0.81049759
149,0.63208252
150,0.90935913
151,0.67896016
152,0.56280675
153,0.61072739
154,0.46322602
155,0.36907991
156,0.35844754
157,0.26105704
158,0.24061115
159,0.35832346
160,0.28372653
161,0.24177299
162,0.13116739
163,0.14247028
164,0.1649609
165,0.12037359
166,0.13346158
167,0.16411761
168,0.10669259
169,0.11863503
170,0.15895752
171,0.67810143
172,0.6413087
173,0.56757188
174,0.61854763
175,0.59879984
176,0.52475505
177,0.54457496
178,0.53215568
179,0.46983702
180,0.30813083
181,0.30318155
182,0.28002741
183,0.266445
184,0.24502891
185,0.221888
186,0.20936985
187,0.21753764
188,0.21826333
189,0.057958791
190,0.05379038
191,0.055394738
192,0.03707099
193,0.035433692
194,0.038634881
195,0.03476152
