ID,Target Pressure (bar)
0,0.08308152
1,0.07356946
2,0.07032822
3,0.07737878
4,0.0661324
5,0.058027685
6,0.07727371
7,0.064726554
8,0.07139475
9,0.5682053
10,0.35065272
11,0.25164276
12,0.893922
13,0.5137824
14,0.3270901
15,0.6364352
16,0.36069223
17,0.26091686
18,0.21841405
19,0.13443035
20,0.10580029
21,0.10596754
22,0.1195853
23,0.11616631
24,0.22963564
25,0.15217339
26,0.11642509
27,0.18230374
28,0.18438932
29,0.1844751
30,0.1035201
31,0.09599655
32,0.09136419
33,0.06447939
34,0.06997333
35,0.07686218
36,0.81629026
37,0.728649
38,0.6497253
39,0.85248905
40,0.8060588
41,0.7281869
42,0.3380812
43,0.32779533
44,0.31082398
45,0.5261434
46,0.4821742
47,0.4411767
48,0.42224747
49,0.31754947
50,0.14531097
51,0.12636557
52,0.13276981
53,0.14022747
54,0.077460095
55,0.07768947
56,0.084637314
57,0.04735468
58,0.046087913
59,0.048897892
60,0.044359393
61,0.049986508
62,0.06246492
63,0.2569306
64,0.23849197
65,0.22282116
66,0.41268352
67,0.3850584
68,0.34405163
69,0.25293383
70,0.25247592
71,0.25187296
72,0.17447583
73,0.15456204
74,0.13717589
75,0.1356859
76,0.12565091
77,0.10147846
78,0.0902672
79,0.09311812
80,0.0992642
81,0.14336428
82,0.1327737
83,0.09494293
84,0.07691604
85,0.057802234
86,0.05218261
87,0.05445127
88,0.05246491
89,0.06290857
90,0.8342033
91,0.4294587
92,0.23686147
93,0.8970943
94,0.43236017
95,0.2534546
96,0.65654814
97,0.3652071
98,0.23389903
99,0.4967161
100,0.32681778
101,0.14951265
102,0.13834088
103,0.084418945
104,0.09654892
105,0.1758446
106,0.12950076
107,0.09789519
108,0.16331843
109,0.1860261
110,0.20332754
111,0.058450382
112,0.05953716
113,0.059977904
114,0.0353852
115,0.041071113
116,0.058758225
117,0.50308955
118,0.53870803
119,0.43753827
120,0.321299
121,0.3424363
122,0.30193064
123,0.24188322
124,0.23626398
125,0.23642541
126,0.4572072
127,0.44484344
128,0.34808573
129,0.33534735
130,0.12699763
131,0.10998937
132,0.08968325
133,0.10149361
134,0.10802956
135,0.16798042
136,0.16194439
137,0.15889086
138,0.15146178
139,0.12993452
140,0.11941589
141,0.1145522
142,0.10663693
143,0.13053645
144,1.0624751
145,0.8468595
