ID,Target Pressure (bar)
0,0.07375173
1,0.08215349
2,0.092389874
3,0.05940635
4,0.06782495
5,0.069188505
6,0.053959005
7,0.05736994
8,0.07302137
9,0.63111085
10,0.4680819
11,0.3027343
12,0.9058367
13,0.6147097
14,0.35573775
15,0.569677
16,0.3896013
17,0.25659546
18,0.19756486
19,0.172336
20,0.12924866
21,0.123856
22,0.12906967
23,0.11933257
24,0.17623729
25,0.139104
26,0.11739909
27,0.12229253
28,0.13573274
29,0.15317331
30,0.07085326
31,0.07339467
32,0.08059622
33,0.06731587
34,0.07182334
35,0.08340755
36,0.54498214
37,0.5466065
38,0.51128536
39,0.6255601
40,0.5883747
41,0.5205304
42,0.35267195
43,0.3507768
44,0.34026647
45,0.2882814
46,0.30183083
47,0.28533107
48,0.27420327
49,0.23678516
50,0.15202087
51,0.12408646
52,0.1345587
53,0.14640841
54,0.09162449
55,0.09822568
56,0.10831401
57,0.05024315
58,0.04870572
59,0.04802694
60,0.046759006
61,0.049459033
62,0.059945773
63,0.29078963
64,0.28009826
65,0.26741537
66,0.42468044
67,0.40535945
68,0.36333472
69,0.29149815
70,0.29290143
71,0.29023302
72,0.20277692
73,0.19405262
74,0.17734411
75,0.1715836
76,0.13633493
77,0.11377828
78,0.09129852
79,0.09659797
80,0.1095423
81,0.1277309
82,0.12682085
83,0.10323714
84,0.06236106
85,0.054350294
86,0.051333986
87,0.04556361
88,0.044272877
89,0.059363198
90,0.6749322
91,0.43898255
92,0.25702223
93,0.68537486
94,0.37197083
95,0.23635454
96,0.59752977
97,0.36386484
98,0.23432489
99,0.45113745
100,0.34409875
101,0.16110814
102,0.14925973
103,0.081543095
104,0.09856718
105,0.15544008
106,0.12001251
107,0.10084027
108,0.15792452
109,0.17534389
110,0.23404232
111,0.069169454
112,0.068321824
113,0.07559467
114,0.074118674
115,0.083139315
116,0.11592011
117,0.46713832
118,0.5344355
119,0.5264148
120,0.6870518
121,0.66417754
122,0.5853018
123,0.57701397
124,0.604924
125,0.5167896
126,0.37356064
127,0.42559692
128,0.38718292
129,0.36419877
130,0.1967308
131,0.1963037
132,0.18299925
133,0.19572449
134,0.19914287
135,0.20004047
136,0.2112701
137,0.18379933
138,0.16504116
139,0.1571922
140,0.1394333
141,0.13548134
142,0.12290286
143,0.13376208
144,1.2163957
145,0.7856083
146,0.65027755
147,1.209569
148,0.7892313
149,0.6075925
150,0.9999684
151,0.67504406
152,0.53369313
153,0.6111371
154,0.4843656
155,0.3249232
156,0.30116677
157,0.2464786
158,0.26666725
159,0.41389793
160,0.30998492
161,0.26619744
162,0.11787839
163,0.11644124
164,0.12981157
165,0.099617064
166,0.09811893
167,0.1147152
168,0.08603006
169,0.087364435
170,0.10984947
171,0.56135255
172,0.56593025
173,0.5776828
174,0.5620307
175,0.58054966
176,0.54607517
177,0.52050406
178,0.5208991
179,0.4980573
180,0.30688152
181,0.31657574
182,0.2696454
183,0.25388804
184,0.22265774
185,0.21213366
186,0.1920102
187,0.19461828
188,0.2115394
189,0.07146068
190,0.070611395
191,0.07102878
192,0.04097042
193,0.04281531
194,0.04673233
195,0.028254064
196,0.030657833
197,0.040177908
198,0.3091515
199,0.27393323
200,0.18991354
201,0.25296
202,0.22709297
203,0.15970181
204,0.1887277
205,0.16564618
206,0.12043271
207,0.19251464
208,0.17456435
209,0.10950717
210,0.1021077
211,0.07178005
212,0.055495597
213,0.06290204
214,0.05772321
215,0.05548783
216,0.08851616
217,0.10458038
218,0.10051384
219,0.06988946
220,0.07885176
221,0.07521977
222,0.055238474
223,0.05728654
224,0.06577394
225,0.6595762
226,0.48471573
227,0.30454493
228,0.6130571
229,0.41508967
230,0.27200398
231,0.50830436
232,0.3572046
233,0.23838153
234,0.2770134
235,0.25597063
236,0.1462191
237,0.13517286
238,0.09854859
239,0.09061954
240,0.14800407
241,0.13555203
242,0.091665246
243,0.12851512
244,0.10115932
245,0.089570746
246,0.05541282
247,0.046021223
248,0.038148858
249,0.04467771
250,0.038084246
251,0.04386443
252,0.75626886
253,0.38395092
254,0.21044505
255,0.78724986
256,0.34708887
257,0.19303088
258,0.4892001
259,0.27320397
260,0.17663737
261,0.38904497
262,0.2354288
263,0.12439761
264,0.11590413
265,0.07424991
266,0.075933956
267,0.14398304
268,0.09664655
269,0.07636138
270,0.232048
271,0.24554782
272,0.2774153
273,0.20364673
274,0.19704494
275,0.19963244
276,0.12649766
277,0.13881171
278,0.16244416
279,1.7794143
280,1.6909328
281,1.511003
282,3.384376
283,3.2323632
284,2.72974
285,1.0933428
286,1.076383
287,1.0754163
288,0.70470107
289,0.6740504
290,0.6188915
291,0.60301423
292,0.75954235
293,0.37074813
294,0.29719043
295,0.32266325
296,0.35589945
297,0.10703611
298,0.10401534
299,0.11146586
300,0.06375151
301,0.05850649
302,0.05525571
303,0.050219692
304,0.047697607
305,0.065875605
306,0.60467106
307,0.46695825
308,0.33149368
309,0.69852704
310,0.449136
311,0.32825196
312,0.3451202
313,0.23137791
314,0.20883217
315,0.2958412
316,0.24859113
317,0.19829512
318,0.1878606
319,0.12506054
320,0.11149485
321,0.13584305
322,0.09850676
323,0.10969688
324,0.081794746
325,0.0837482
326,0.08233253
327,0.038265996
328,0.03958308
329,0.03361694
330,0.030076744
331,0.025568534
332,0.0275636
333,0.34308395
334,0.27004373
335,0.22407643
336,0.22611561
337,0.20370406
338,0.15390444
339,0.2008417
340,0.16666973
341,0.13196738
342,0.26578197
343,0.2278317
344,0.1781551
345,0.16866992
346,0.076814
347,0.06131774
348,0.08885717
349,0.07151237
350,0.0618017
351,0.09544081
352,0.09520122
353,0.11330285
354,0.054479055
355,0.06203721
356,0.08320363
357,0.040412437
358,0.05104373
359,0.0808774
360,0.48728177
361,0.44844416
362,0.33686733
363,0.44573617
364,0.4344376
365,0.35702667
366,0.35724503
367,0.3906241
368,0.31702125
369,0.27816314
370,0.24936284
371,0.16487448
372,0.15730315
373,0.12222796
374,0.11374016
375,0.10341868
376,0.12671907
377,0.11623839
378,0.1780942
379,0.18171312
380,0.18610863
381,0.1529447
382,0.15431318
383,0.16125466
384,0.13503987
385,0.13853347
386,0.14693238
387,1.7169256
388,1.5878589
389,1.4354899
390,1.6507771
391,1.5120255
392,1.3450528
393,1.2891778
394,1.208115
395,1.0950282
396,0.5952911
397,0.5615556
398,0.49618447
399,0.4672314
400,0.39591673
401,0.3256797
402,0.34972253
403,0.33852187
404,0.3231232
405,0.14422867
406,0.15295921
407,0.18535994
408,0.08828104
409,0.08649301
410,0.09058906
411,0.059608374
412,0.06564607
413,0.087333575
414,0.75609577
415,0.7656792
416,0.6797861
417,0.8736308
418,0.84213173
419,0.71174115
420,0.4005773
421,0.39969
422,0.38339168
423,0.37976173
424,0.4040456
425,0.36150867
426,0.34536013
427,0.27158487
428,0.16545375
429,0.13721198
430,0.13988735
431,0.1591318
432,0.052243724
433,0.052002884
434,0.054862548
435,0.04206827
436,0.04477348
437,0.05075869
438,0.043391194
439,0.04661791
440,0.061128087
441,0.32329708
442,0.28682062
443,0.20102125
444,0.35867977
445,0.28797475
446,0.2026596
447,0.32825667
448,0.29700306
449,0.21148598
450,0.16172506
451,0.14859007
452,0.11078316
453,0.10538892
454,0.09709935
455,0.10350404
456,0.11268671
457,0.11344731
458,0.1054028
459,0.11725958
460,0.13941877
461,0.15619534
462,0.08359431
463,0.07536776
464,0.08377393
465,0.060101677
466,0.062996626
467,0.08245309
468,0.3865823
469,0.40777367
470,0.32299656
471,0.4049565
472,0.34665433
473,0.25782466
474,0.44691107
475,0.37636
476,0.28626877
477,0.35281003
478,0.3772761
479,0.24704865
480,0.23140085
481,0.11988098
482,0.12700711
483,0.16851096
484,0.15540877
485,0.13179761
486,0.09196629
487,0.09495812
488,0.09970226
489,0.046312824
490,0.0455416
491,0.04505704
492,0.047172528
493,0.051830515
494,0.05733227
495,0.33150762
496,0.3213121
497,0.29631302
498,0.25512102
499,0.24296875
500,0.22808585
501,0.23642261
502,0.2301936
503,0.22836927
504,0.21979655
505,0.21434386
506,0.20151064
507,0.1932684
508,0.12045106
509,0.10768229
510,0.09051998
511,0.09300739
512,0.10370512
513,0.07965044
514,0.08330277
515,0.086850174
516,0.038018554
517,0.039268468
518,0.036716904
519,0.029040871
520,0.028734716
521,0.040413823
522,0.6315908
523,0.44781637
524,0.26441804
525,0.7583312
526,0.53240997
527,0.29756084
528,0.32799113
529,0.24665377
530,0.16710304
531,0.23146193
532,0.2153745
533,0.11657532
534,0.1074703
535,0.07576308
536,0.06334469
537,0.083895355
538,0.06863436
539,0.06144855
540,0.23611198
541,0.25062522
542,0.2710083
543,0.1510192
544,0.13472101
545,0.12818822
546,0.09824464
547,0.10301462
548,0.11808752
549,1.5960642
550,1.3843629
551,1.186497
552,1.3954217
553,1.2596787
554,1.0212018
555,0.7855154
556,0.7014435
557,0.597682
558,0.7898964
559,0.81754494
560,0.6865348
561,0.6471133
562,0.33591667
563,0.21961156
564,0.21038961
565,0.21174724
566,0.21793658
567,0.05160932
568,0.056369573
569,0.056927145
570,0.025544614
571,0.025870418
572,0.03286961
573,0.02151994
574,0.023969151
575,0.041356307
576,0.21901378
577,0.210471
578,0.16223453
579,0.1535959
580,0.16934077
581,0.14185257
582,0.12085966
583,0.13100734
584,0.12473735
585,0.15332408
586,0.16289894
587,0.10118784
588,0.09477629
589,0.062824555
590,0.06666791
591,0.05081325
592,0.052715532
593,0.06533546
594,0.08982134
595,0.10953289
596,0.11274344
597,0.06313595
598,0.05962524
599,0.05927135
600,0.042637892
601,0.04729025
602,0.060312524
603,0.55719817
604,0.5561377
605,0.32635605
606,0.48732463
607,0.51214325
608,0.33339414
609,0.3309562
610,0.33794007
611,0.2659603
612,0.2656324
613,0.3273697
614,0.1874428
615,0.17564124
616,0.11900028
617,0.10480468
618,0.11773792
619,0.12154131
620,0.1050818
621,0.2979408
622,0.19425894
623,0.13834696
624,0.2428062
625,0.17321606
626,0.13083316
627,0.20822534
