ID,Target Pressure (bar)
0,0.069273006
1,0.070401546
2,0.076900527
3,0.064599487
4,0.062933985
5,0.066260017
6,0.058696786
7,0.061534541
8,0.070413537
9,0.45492244
10,0.31295276
11,0.21878619
12,0.66698355
13,0.43192519
14,0.27034629
15,0.5486061
16,0.37618624
17,0.25442247
18,0.1550059
19,0.12520382
20,0.10133792
21,0.10020111
22,0.10417463
23,0.1079315
24,0.16872624
25,0.13814519
26,0.1100902
27,0.20715437
28,0.22557797
29,0.24508248
30,0.1191338
31,0.11926088
32,0.11978922
33,0.062755723
34,0.06932725
35,0.078298198
36,0.93894776
37,0.93407066
38,0.90689326
39,1.05534233
40,0.97783926
41,0.88343708
42,0.3278874
43,0.33181293
44,0.33502479
45,0.56120076
46,0.56499483
47,0.55627571
48,0.55473693
49,0.34364299
50,0.14480462
51,0.12684764
52,0.13301261
53,0.14034014
54,0.091250924
55,0.099317554
56,0.10942952
57,0.059083704
58,0.060830899
59,0.064007746
60,0.064114877
61,0.070954537
62,0.081368457
63,0.23360813
64,0.22866908
65,0.22064066
66,0.37370105
67,0.35117355
68,0.32242984
69,0.30140135
70,0.29898382
71,0.29429521
72,0.16289357
73,0.16024846
74,0.15562832
75,0.15372063
76,0.13076081
77,0.1282197
78,0.1160103
79,0.12126828
80,0.12745894
81,0.10599252
82,0.11225895
83,0.10072032
84,0.057149736
85,0.054715646
86,0.055140466
87,0.043820245
88,0.04495096
89,0.055423475
90,0.75797527
91,0.49559245
92,0.27931906
93,0.70449004
94,0.41911431
95,0.24372953
96,0.57107204
97,0.35459631
98,0.24058292
99,0.42044212
100,0.29517365
101,0.14680553
102,0.1358408
103,0.086606424
104,0.083682222
105,0.1506494
106,0.11416563
107,0.086040418
108,0.15732525
109,0.1911703
110,0.1961106
111,0.038075319
112,0.035714006
113,0.036915835
114,0.0276106
115,0.027105362
116,0.034132371
117,0.29256992
118,0.3410581
119,0.32677783
120,0.22076302
121,0.21593366
122,0.19426902
123,0.19021833
124,0.180487
125,0.18167164
126,0.34639093
127,0.36470046
128,0.28466389
129,0.2640683
130,0.07591228
131,0.068824889
