ID,Target Pressure (bar)
0,0.068351918
1,0.068409263
2,0.074089863
3,0.06263856
4,0.060985105
5,0.064393503
6,0.056099846
7,0.059857976
8,0.0696077
9,0.4491336
10,0.3106925
11,0.21820595
12,0.64773034
13,0.42812267
14,0.2728649
15,0.52468827
16,0.37352649
17,0.26107473
18,0.15416849
19,0.12224954
20,0.098123456
21,0.097098114
22,0.10203332
23,0.10759076
24,0.16005715
25,0.13401563
26,0.10967795
27,0.22499983
28,0.2456756
29,0.26787772
30,0.13051576
31,0.13142618
32,0.132904
33,0.066615822
34,0.074053423
35,0.084251634
36,1.01191807
37,1.00968072
38,0.98398391
39,1.15496489
40,1.07682621
41,0.97955015
42,0.3528754
43,0.35889809
44,0.36442576
45,0.62020161
46,0.62592424
47,0.61822522
48,0.61748412
49,0.38516687
50,0.15665868
51,0.13486223
52,0.14237637
53,0.15137288
54,0.099626994
55,0.10860317
56,0.11957047
57,0.064773757
58,0.066374973
59,0.069369906
60,0.069392272
61,0.076242272
62,0.086672856
63,0.26060377
64,0.25479986
65,0.24489769
66,0.42187573
67,0.39299439
68,0.35693481
69,0.3343115
70,0.3277318
71,0.31853455
72,0.18178556
73,0.17839742
74,0.17236191
75,0.1700462
76,0.14389497
77,0.13783115
78,0.12779073
79,0.13210746
80,0.13713921
81,0.11918282
82,0.12733179
83,0.11072347
84,0.06385731
85,0.061284753
86,0.05980999
87,0.04846163
88,0.04965551
89,0.059232281
90,0.8759143
91,0.56903235
92,0.30799954
93,0.80552063
94,0.47594526
95,0.2670554
96,0.63766047
97,0.39378961
98,0.25929016
99,0.47948233
100,0.33963322
101,0.16216733
102,0.14965227
103,0.094308311
104,0.089512393
105,0.16684045
106,0.12660788
107,0.09209136
108,0.13464008
109,0.16415413
110,0.17325529
111,0.032643783
112,0.030938551
113,0.033205485
114,0.024573844
115,0.024510965
116,0.032092767
117,0.24984038
118,0.29194212
119,0.28879546
120,0.18375268
121,0.18061349
122,0.16993416
123,0.16565944
124,0.1587743
125,0.16687407
126,0.29267239
127,0.30892634
128,0.24852174
129,0.23099742
130,0.067165542
131,0.063987473
132,0.063983002
133,0.060697767
134,0.064888817
135,0.13899566
136,0.12636866
137,0.12357346
138,0.11577255
139,0.1010207
140,0.098719571
141,0.096538525
142,0.091122373
143,0.099835887
144,0.93217573
145,0.65183318
146,0.43787779
147,0.93864839
148,0.63066234
149,0.41236098
150,0.77766724
151,0.5580713
152,0.40020275
153,0.4536761
154,0.32443394
155,0.21046071
156,0.20021398
157,0.16806265
158,0.16284116
159,0.28859861
160,0.22267392
161,0.16695125
162,0.092512955
163,0.10231126
164,0.10971485
165,0.084645924
166,0.097830933
167,0.11112595
168,0.078643201
169,0.096221018
170,0.11735724
171,0.47249393
172,0.45013498
173,0.39123539
174,0.47623529
175,0.47019058
176,0.42578744
177,0.47503946
178,0.49258554
179,0.47158752
180,0.23454692
181,0.2285962
182,0.2042412
183,0.20028102
184,0.20121459
185,0.20929519
186,0.18029137
187,0.20048412
188,0.21059767
189,0.056429078
190,0.054393901
191,0.056104131
192,0.037874367
193,0.036065472
194,0.038712759
195,0.028612098
196,0.027888216
197,0.031993026
198,0.24848346
199,0.20209382
200,0.16060541
