ID,Target Pressure (bar)
0,0.07476782
1,0.08548259
2,0.09690416
3,0.06302348
4,0.06323843
5,0.06753126
6,0.05201497
7,0.053827927
8,0.06036702
9,0.45976827
10,0.36464024
11,0.25017887
12,0.8255932
13,0.54093087
14,0.3397901
15,0.47689357
16,0.3645354
17,0.23759544
18,0.2107053
19,0.15943852
20,0.10954912
21,0.10240389
22,0.10834195
23,0.0993901
24,0.19544327
25,0.1601424
26,0.11405865
27,0.12399179
28,0.12390812
29,0.12888539
30,0.087313294
31,0.07572575
32,0.074250855
33,0.054774497
34,0.051537555
35,0.052704692
36,0.4572864
37,0.43491128
38,0.35313636
39,0.6050601
40,0.53158337
41,0.4276167
42,0.26078612
43,0.24224038
44,0.2149599
45,0.28585562
46,0.2807201
47,0.25148767
48,0.24926832
49,0.20237146
50,0.09322875
51,0.09548329
52,0.0956061
53,0.09333011
54,0.13852976
55,0.13977233
56,0.18748029
57,0.082314365
58,0.08151685
59,0.08991939
60,0.04955275
61,0.05373615
62,0.07676758
63,0.31177115
64,0.28926957
65,0.3545198
66,0.42971453
67,0.40900993
68,0.44578013
69,0.28492242
70,0.2771853
71,0.35162517
72,0.25610116
73,0.23584601
74,0.2838963
75,0.2737957
76,0.21271482
77,0.14187817
78,0.10024932
79,0.10386219
80,0.13585952
81,0.12405186
82,0.11496544
83,0.09533277
84,0.04776986
85,0.0426802
86,0.039233945
87,0.03908806
88,0.0387653
89,0.041048486
90,0.76628006
91,0.44847333
92,0.2843621
93,0.74006313
94,0.42802504
95,0.3008416
96,0.6708306
97,0.42239013
98,0.3113293
99,0.3881156
100,0.25301158
101,0.15510964
102,0.14729036
103,0.08011452
104,0.07638779
105,0.11715321
106,0.10281008
107,0.07764137
108,0.14824979
109,0.17186563
110,0.15935981
111,0.066494755
112,0.066968285
113,0.06765015
114,0.04343675
115,0.051736906
116,0.06697182
117,0.520893
118,0.62903774
119,0.4657589
120,0.54739046
121,0.61729246
122,0.49108633
123,0.25803074
124,0.29926866
125,0.27434725
126,0.32594094
127,0.3901289
128,0.27712622
129,0.26177356
130,0.14340793
131,0.12327149
132,0.10637306
133,0.12706386
134,0.12621212
135,0.15551515
136,0.15763812
137,0.16598974
138,0.128875
139,0.11820717
140,0.10321488
141,0.09995401
142,0.099905446
143,0.10409946
144,1.1501951
145,0.93638074
146,0.7387562
147,1.1195883
148,0.8782755
149,0.57193106
150,0.80436337
151,0.6667469
152,0.50167686
153,0.607111
154,0.4955715
155,0.37654313
156,0.3726239
157,0.2618523
158,0.2279664
159,0.35820293
160,0.28297397
161,0.2349577
162,0.11580547
163,0.12078693
164,0.14605017
165,0.10381455
166,0.11050471
167,0.13847327
168,0.09347724
169,0.09890802
170,0.13344762
171,0.53292483
172,0.58627224
173,0.54693645
174,0.53772455
175,0.6061704
176,0.5776509
177,0.44979647
178,0.4898823
179,0.45837012
180,0.2545989
181,0.26775485
182,0.25655478
183,0.24300094
184,0.2417266
185,0.19664983
186,0.1808453
187,0.19143195
188,0.19208036
189,0.05139062
190,0.043219283
191,0.04968336
192,0.03149039
193,0.02672538
194,0.04042658
195,0.023999091
196,0.022076957
197,0.03474546
198,0.32393405
199,0.22839525
