iter	RMSE
0	0.9749524493
1	0.9541654865
2	0.93416782
3	0.9151502039
4	0.8962869114
5	0.8786228317
6	0.860590012
7	0.8430612111
8	0.8266467274
9	0.8104762321
10	0.7959269952
11	0.7813028686
12	0.7670342223
13	0.7527639552
14	0.7389286928
15	0.7255525498
16	0.713243073
17	0.7008164396
18	0.6890022083
19	0.67759889
20	0.6671659978
21	0.6567777196
22	0.6467818084
23	0.6372315157
24	0.6273866186
25	0.6186187646
26	0.6093924543
27	0.6012347755
28	0.5930909226
29	0.5853635654
30	0.5771879753
31	0.569310831
32	0.5617851689
33	0.5550623598
34	0.548132186
35	0.5410372415
36	0.5344112113
37	0.5282268004
38	0.5218212941
39	0.5159552288
40	0.5099614392
41	0.5043146135
42	0.4989860818
43	0.4936011305
44	0.4881533472
45	0.4829969438
46	0.4784752357
47	0.4739899327
48	0.4696060812
49	0.465057435
50	0.4609206689
51	0.4561115265
52	0.4520588702
53	0.4478752706
54	0.4440924013
55	0.4406669791
56	0.4365839017
57	0.4327958015
58	0.4291793455
59	0.4252680809
60	0.421699559
61	0.418236607
62	0.4147345882
63	0.4114273553
64	0.4082702745
65	0.4054959617
66	0.4024106353
67	0.3992857866
68	0.3959579935
69	0.3933199249
70	0.3908042368
71	0.3882776996
72	0.3856407806
73	0.3828886987
74	0.380626151
75	0.3777773199
76	0.3756283074
77	0.3729441814
78	0.370251218
79	0.3677126545
80	0.3655233523
81	0.3636531634
82	0.3616551749
83	0.3594432969
84	0.3572236291
85	0.3553991198
86	0.353336419
87	0.3515022703
88	0.3496030833
89	0.3477395123
90	0.3458765748
91	0.3440111034
92	0.3420941913
93	0.3403752761
94	0.3384732311
95	0.336765489
96	0.3349902398
97	0.3332060208
98	0.3314614534
99	0.3299884391
100	0.3284241716
101	0.3268427634
102	0.325317603
103	0.3239479592
104	0.3223403931
105	0.3211394587
106	0.3198548821
107	0.3185495566
108	0.3171904057
109	0.3159293908
110	0.3145105404
111	0.3131062468
112	0.3119971815
113	0.310803599
114	0.3094807049
115	0.3082809903
116	0.3069703554
117	0.3058838725
118	0.3046634746
119	0.3035010584
120	0.3022351311
121	0.3012832978
122	0.3000950587
123	0.2991335262
124	0.298033011
125	0.2970629117
126	0.2960568932
127	0.2949159167
128	0.2939274747
129	0.2929570318
130	0.2918210671
131	0.2908631695
132	0.2898707845
133	0.2890134815
134	0.2880569415
135	0.2872186345
136	0.2864287289
137	0.2854268938
138	0.2844987688
139	0.2835332573
140	0.2824811149
141	0.2817042889
142	0.2810387587
143	0.2802887468
144	0.2794271246
145	0.2785635215
146	0.2778589553
147	0.277005704
148	0.2761505566
149	0.2753595223
150	0.2744919721
151	0.2737395709
152	0.2730415051
153	0.2723177576
154	0.2716945272
155	0.270962109
156	0.2703449057
157	0.2697819155
158	0.2689594031
159	0.2681314055
160	0.26746561
161	0.2668703403
162	0.2663891646
163	0.2657536864
164	0.2651977553
165	0.2646528562
166	0.2640256436
167	0.2632318539
168	0.2626088793
169	0.262066349
170	0.261556998
171	0.2610595839
172	0.2604475928
173	0.2598309971
174	0.259304952
175	0.2587804768
176	0.2582737595
177	0.2577143326
178	0.257182674
179	0.2566823476
180	0.2561002576
181	0.2555559575
182	0.2550378382
183	0.2546506293
184	0.2542488041
185	0.2537419143
186	0.2532068896
187	0.2527319614
188	0.2522445483
189	0.2517362868
190	0.2512164038
191	0.2507815178
192	0.2504226056
193	0.2499587104
194	0.2494828953
195	0.2491515355
196	0.2487123363
197	0.248190217
198	0.2476696512
199	0.2471356868
200	0.2467861893
201	0.2462746721
202	0.2458745216
203	0.2454468632
204	0.2450506294
205	0.2445354963
206	0.2440547535
207	0.2436088694
208	0.2431611237
209	0.2427614949
210	0.2423781433
