iter	Passed	Remaining
0	5	12059
1	9	9722
2	13	9320
3	17	9035
4	20	8623
5	25	8996
6	29	8691
7	32	8459
8	37	8655
9	40	8507
10	44	8442
11	47	8343
12	51	8204
13	54	8084
14	57	8042
15	61	7964
16	64	7893
17	69	8018
18	72	7966
19	77	8010
20	81	8041
21	85	8094
22	90	8168
23	93	8121
24	97	8125
25	101	8103
26	104	8054
27	108	8003
28	111	7976
29	114	7931
30	117	7870
31	123	7958
32	126	7912
33	129	7886
34	134	7939
35	137	7905
36	142	7919
37	145	7899
38	148	7857
39	152	7861
40	155	7821
41	158	7787
42	163	7820
43	166	7787
44	169	7750
45	174	7793
46	178	7779
47	181	7757
48	185	7772
49	188	7742
50	192	7722
51	197	7766
52	200	7747
53	203	7725
54	207	7730
55	211	7702
56	214	7675
57	218	7710
58	222	7703
59	227	7721
60	231	7727
61	234	7717
62	239	7758
63	243	7746
64	247	7764
65	251	7758
66	254	7733
67	258	7735
68	262	7715
69	265	7689
70	269	7688
71	272	7678
72	275	7655
73	280	7676
74	283	7658
75	286	7640
76	290	7644
77	294	7632
78	297	7618
79	302	7625
80	305	7612
81	308	7594
82	312	7600
83	317	7610
84	320	7593
85	324	7588
86	327	7572
87	330	7552
88	335	7583
89	339	7579
90	342	7561
91	347	7581
92	350	7565
93	354	7571
94	358	7558
95	361	7542
96	365	7540
97	368	7522
98	371	7504
99	374	7491
100	379	7504
101	382	7495
102	398	7716
103	402	7719
104	405	7707
105	410	7716
106	413	7703
107	416	7685
108	421	7695
109	424	7676
110	427	7657
111	432	7673
112	435	7655
113	438	7637
114	443	7649
115	446	7633
116	449	7617
117	453	7613
118	456	7596
119	459	7579
120	464	7593
121	467	7578
122	470	7564
123	475	7577
124	478	7567
125	482	7557
126	486	7552
127	489	7537
128	492	7521
129	497	7534
130	500	7526
131	504	7522
132	507	7509
133	510	7494
134	513	7479
135	518	7481
136	521	7469
137	524	7454
138	529	7470
139	532	7456
140	536	7447
141	540	7447
142	543	7435
143	547	7433
144	550	7428
145	554	7415
146	558	7414
147	561	7404
148	564	7393
149	570	7410
150	573	7403
151	576	7391
152	582	7412
153	586	7405
154	589	7402
155	593	7400
156	597	7388
157	600	7381
158	604	7376
159	607	7365
160	610	7354
161	614	7349
162	617	7336
163	620	7322
164	624	7325
165	627	7314
166	630	7300
167	636	7315
168	639	7305
169	642	7296
170	646	7295
171	650	7287
172	653	7284
173	657	7281
174	660	7269
175	665	7269
176	668	7260
177	671	7251
178	674	7243
179	678	7241
180	682	7234
181	685	7228
182	689	7222
183	692	7212
184	696	7204
185	700	7204
186	703	7194
187	707	7190
188	711	7190
189	714	7180
190	718	7176
191	721	7171
192	724	7160
193	728	7154
194	733	7163
195	736	7152
196	740	7154
197	743	7145
198	746	7135
199	750	7132
200	753	7122
201	756	7112
202	760	7109
203	764	7103
204	767	7096
205	771	7090
206	775	7088
207	778	7080
208	782	7078
209	785	7072
210	789	7064
211	792	7060
212	796	7059
213	800	7051
214	804	7049
215	807	7042
216	810	7032
217	813	7024
218	817	7020
219	820	7014
220	825	7016
221	829	7015
222	832	7008
223	837	7010
224	840	7003
225	843	6997
226	849	7012
227	853	7003
228	857	7003
229	860	6997
230	863	6989
231	867	6988
232	871	6985
233	875	6980
234	881	6995
235	885	6995
236	890	7000
237	895	7003
238	899	7001
239	903	7004
240	906	6996
241	911	6994
242	914	6990
243	917	6982
244	922	6982
245	925	6976
246	928	6968
247	933	6974
248	937	6965
249	940	6957
250	944	6958
251	947	6949
252	951	6943
253	956	6950
254	959	6941
255	962	6933
256	967	6936
257	970	6930
258	973	6921
259	977	6916
260	980	6910
261	983	6902
262	988	6902
263	991	6895
264	994	6886
265	999	6891
266	1002	6884
267	1006	6879
268	1009	6873
269	1013	6866
270	1016	6859
271	1020	6858
272	1023	6850
273	1026	6842
