ID,Target Pressure (bar)
0,0.090156771
1,0.090426895
2,0.088196026
3,0.076944766
4,0.077332813
5,0.066288317
6,0.056207698
7,0.052889005
8,0.063951809
9,0.61511166
10,0.36109343
11,0.23655281
12,0.94949466
13,0.4917225
14,0.28250306
15,0.55745185
16,0.34232195
17,0.20066537
18,0.24917902
19,0.19138255
20,0.13368936
21,0.1094184
22,0.11107611
23,0.10938727
24,0.17667902
25,0.14516089
26,0.10761333
27,0.12062467
28,0.11787158
29,0.14646382
30,0.10795566
31,0.090511028
32,0.083502575
33,0.063230292
34,0.05899255
35,0.084978469
36,0.4954063
37,0.4413631
38,0.39586298
39,0.61896157
40,0.57536143
41,0.48032183
42,0.33099373
43,0.29589689
44,0.25570973
45,0.32262241
46,0.27472446
47,0.26267784
48,0.22434651
49,0.21582669
50,0.12068
51,0.12997628
52,0.11490116
53,0.11517982
54,0.084088766
55,0.085227458
56,0.10853036
57,0.06583269
58,0.059606161
59,0.060383533
60,0.043514231
61,0.042484978
62,0.0631543
63,0.32484812
64,0.33183089
65,0.32272025
66,0.40123618
67,0.43806326
68,0.3975226
69,0.29951833
70,0.3015125
71,0.29276611
72,0.20743715
73,0.21165989
74,0.20717766
75,0.15239315
76,0.15508312
77,0.12331692
78,0.1143927
79,0.11865192
80,0.1192445
81,0.11488968
82,0.11224846
83,0.10010397
84,0.05387686
85,0.055151326
86,0.044250757
87,0.050723515
88,0.045836137
89,0.056002998
90,0.82120143
91,0.46754697
92,0.24820158
93,0.83162978
94,0.46953081
95,0.2370395
96,0.62341921
97,0.44074105
98,0.22595102
99,0.33933094
100,0.25658146
101,0.17597524
102,0.10154968
103,0.076058035
104,0.082645278
105,0.12110461
106,0.11056809
107,0.086047257
108,0.11278964
109,0.11621573
110,0.13367526
111,0.070925656
112,0.068096693
113,0.063700509
114,0.039663307
115,0.039941287
116,0.052901763
117,0.42310881
118,0.43901761
119,0.39625359
120,0.55593996
121,0.52111528
122,0.43853638
123,0.29383519
124,0.31732283
125,0.29425164
126,0.26741889
127,0.30237745
128,0.26686156
129,0.1627376
130,0.11582442
131,0.10374284
132,0.094842193
133,0.10145548
134,0.098888836
135,0.21527713
136,0.19256264
137,0.20494494
138,0.18694766
139,0.15404819
140,0.13440326
141,0.12117694
142,0.10648193
143,0.13134125
144,0.90621559
145,0.71819663
146,0.5464892
147,0.87614872
148,0.70807176
149,0.52434191
150,0.76435173
151,0.60606255
152,0.43116213
153,0.64226752
154,0.53174186
155,0.41368607
156,0.3400421
157,0.24448779
158,0.22496759
159,0.32427768
160,0.26612613
161,0.23102185
162,0.13185444
163,0.1349098
164,0.15695608
165,0.12827642
166,0.12585782
167,0.11677068
168,0.11503416
169,0.10973494
170,0.14625136
171,0.59094665
172,0.58132422
173,0.51920545
174,0.62503313
175,0.6655493
176,0.58938945
177,0.49695003
178,0.5015311
179,0.48619919
180,0.35116324
181,0.35148688
182,0.33336146
183,0.24785658
184,0.22684688
185,0.17546525
186,0.17089601
187,0.1715021
188,0.17894143
189,0.054892962
190,0.053054773
191,0.063323461
192,0.036016263
193,0.035561564
194,0.034449803
195,0.031646044
196,0.029796821
197,0.042402731
198,0.30591703
199,0.2462215
200,0.19130934
201,0.21856494
202,0.19214888
203,0.1566444
204,0.18405129
205,0.14951916
206,0.13253497
207,0.1825665
208,0.1553495
209,0.13858825
210,0.10281318
211,0.078627097
212,0.06890765
213,0.071344622
214,0.06398587
215,0.065280922
216,0.11292951
217,0.11544684
218,0.10586982
219,0.10099173
220,0.10550564
221,0.10629042
222,0.076239719
223,0.076138269
224,0.080974899
225,0.63025744
226,0.47411304
227,0.22913217
228,0.65508727
229,0.4834201
230,0.24377898
231,0.56895236
232,0.44302365
233,0.22258677
234,0.33664204
235,0.31506791
236,0.1900574
237,0.11103985
238,0.097579226
239,0.10035448
240,0.16887195
241,0.15658485
242,0.10141037
243,0.1228923
244,0.10652386
245,0.10256353
246,0.051372429
247,0.047066978
248,0.041992541
249,0.044296658
250,0.03670913
251,0.044531463
