ID,Target Pressure (bar)
0,0.120354
1,0.10900612
2,0.11192887
3,0.087094741
4,0.075087653
5,0.063031717
6,0.063671731
7,0.055616916
8,0.070415771
9,0.66169059
10,0.49447266
11,0.33946736
12,0.65685783
13,0.49917572
14,0.34436086
15,0.45629073
16,0.3557685
17,0.24929985
18,0.36706246
19,0.30001386
20,0.2249263
21,0.16561148
22,0.12967769
23,0.11380918
24,0.15778387
25,0.13073471
26,0.11144716
27,0.11690946
28,0.12798321
29,0.15944965
30,0.071667414
31,0.074188565
32,0.074607815
33,0.044889618
34,0.046817724
35,0.070680526
36,0.64642948
37,0.60046321
38,0.5071848
39,0.52570107
40,0.49716127
41,0.42332334
42,0.30417027
43,0.29327955
44,0.25276858
45,0.35724696
46,0.35944088
47,0.329521
48,0.24010337
49,0.15595154
50,0.11476922
51,0.10855111
52,0.10906002
53,0.11238552
54,0.084669623
55,0.090567726
56,0.10975559
57,0.055521345
58,0.056307748
59,0.055513414
60,0.037008217
61,0.037842499
62,0.055576376
63,0.48689636
64,0.4424863
65,0.36677945
66,0.42448796
67,0.39254686
68,0.32770595
69,0.26391063
70,0.24890726
71,0.21026751
72,0.26136284
73,0.25705062
74,0.23102678
75,0.16998069
76,0.11845586
77,0.092903282
78,0.091651478
79,0.090199422
80,0.091009301
81,0.1074829
82,0.095450264
83,0.095972524
84,0.078029488
85,0.066033939
86,0.054459348
87,0.057216401
88,0.049076026
89,0.060751625
90,0.61745025
91,0.45137812
92,0.3037648
93,0.61296819
94,0.45563639
95,0.30810018
96,0.42674087
97,0.3256158
98,0.2237505
99,0.33369664
100,0.26708059
101,0.19644236
102,0.1451636
103,0.11398789
104,0.1001877
105,0.1444311
106,0.11734799
107,0.09813159
108,0.11914969
109,0.11020525
110,0.11556434
111,0.075724967
112,0.066725577
113,0.057231919
114,0.049034686
115,0.043799723
116,0.05627415
117,0.70390121
118,0.53797953
119,0.37700006
120,0.59745935
121,0.46601955
122,0.32971837
123,0.35845143
124,0.28742113
125,0.20727211
126,0.37587614
127,0.31421749
128,0.24063207
129,0.17685323
130,0.12073978
131,0.092889537
132,0.12271118
133,0.10424177
134,0.09099586
135,0.20476427
136,0.1886667
137,0.19830355
138,0.15476513
139,0.13524969
140,0.1148642
141,0.11791458
142,0.10436906
143,0.13685679
144,1.2312431
145,0.9283492
146,0.63932925
147,1.31196606
148,1.00526434
149,0.69429579
150,0.95475302
151,0.75046154
152,0.52587191
153,0.66110833
154,0.54761894
155,0.41380663
156,0.29959564
157,0.24620022
158,0.22791826
159,0.30824475
160,0.25825256
161,0.22288984
162,0.12934071
163,0.13291986
164,0.15530708
165,0.10266822
166,0.099961727
167,0.094487904
168,0.081970854
169,0.080601193
170,0.11662436
171,0.71957376
172,0.62061911
173,0.48759801
174,0.80006457
175,0.70097705
176,0.55226431
177,0.61698286
178,0.55186678
179,0.43916158
180,0.39745838
181,0.37280972
182,0.31882673
183,0.23252393
184,0.19979133
185,0.19279562
186,0.20755075
187,0.19520897
188,0.18860427
189,0.058057831
190,0.057242678
191,0.063542485
192,0.045190444
193,0.042416623
194,0.038750867
195,0.035405662
196,0.03356619
197,0.045425068
198,0.31989391
199,0.26637851
200,0.20371535
201,0.33842114
202,0.28603474
203,0.219464
204,0.25522417
205,0.22016887
206,0.17073848
207,0.17395253
208,0.15696312
209,0.13013243
210,0.097202705
211,0.081376473
212,0.075879765
213,0.08812584
214,0.079934016
215,0.074360168
216,0.10311214
217,0.091608725
218,0.092108131
219,0.080707913
220,0.068266551
221,0.056268729
222,0.063574691
223,0.05445139
224,0.067541046
225,0.60056514
226,0.43936919
227,0.29595927
228,0.65183681
229,0.48375043
230,0.32643906
231,0.49409452
232,0.37568758
233,0.25693976
234,0.32186955
235,0.25779687
236,0.18979488
237,0.14037956
238,0.11910401
239,0.11293244
240,0.16345434
241,0.13250168
242,0.11059021
243,0.08460252
244,0.075318738
245,0.07572222
246,0.060718286
247,0.051572463
248,0.042710064
249,0.044041709
250,0.037908649
251,0.046698196
252,0.45302791
253,0.33397551
254,0.22708448
255,0.44019961
256,0.33000878
257,0.22559568
258,0.30323871
259,0.2332412
260,0.16201594
261,0.25247425
262,0.20316904
263,0.15052834
264,0.11201571
265,0.086800078
266,0.075125072
267,0.10728666
268,0.087638736
269,0.073621913
270,0.37904003
271,0.41912986
272,0.53527193
273,0.22957806
274,0.23855518
275,0.24005158
276,0.1422367
277,0.14902387
278,0.23549288
279,2.70000288
280,2.48311095
281,2.05058888
282,2.24480396
283,2.10669005
284,1.75497407
285,1.26542601
286,1.21412127
287,1.02579597
288,1.34944896
289,1.35878139
290,1.2321972
291,0.86363018
292,0.55706387
293,0.4126935
294,0.38772521
295,0.38976177
296,0.40310041
297,0.10141277
298,0.090114627
299,0.090605166
300,0.071077472
301,0.060233207
302,0.049752853
303,0.05041827
304,0.043318995
305,0.053497423
306,0.54225605
307,0.39781953
308,0.26888953
309,0.51522616
310,0.3847073
311,0.26163898
312,0.3456919
313,0.26508653
314,0.1833815
315,0.3038592
316,0.24364552
317,0.17964839
318,0.13306799
319,0.10078186
320,0.085446226
321,0.12253699
322,0.099857574
323,0.083717057
324,0.065291525
325,0.059445316
326,0.060954265
327,0.047209818
328,0.041021088
329,0.034749844
330,0.034484568
331,0.030338165
332,0.037932748
333,0.33550677
334,0.25499051
335,0.17880892
336,0.32625322
337,0.25203337
338,0.17766122
339,0.22692527
340,0.17958069
341,0.12847026
342,0.18981358
343,0.15692184
344,0.11954026
345,0.089484795
346,0.069688222
347,0.060482738
348,0.082345801
349,0.068949215
350,0.059295447
351,0.086809125
352,0.080466302
353,0.084268418
354,0.066961875
355,0.059084842
356,0.050761593
357,0.052013819
358,0.046433323
359,0.059736699
360,0.49620854
361,0.38234588
362,0.27076195
363,0.52613021
364,0.41151979
365,0.29225364
366,0.39238266
367,0.31407266
368,0.2259139
369,0.26737889
370,0.22470862
371,0.17342545
372,0.12857789
373,0.10716564
374,0.099754206
375,0.13201658
376,0.11202807
377,0.097707776
378,0.20050766
379,0.22048391
380,0.27773791
381,0.15771774
382,0.163678
383,0.16467073
384,0.12483393
385,0.13072011
386,0.20545251
387,1.32752745
388,1.22714501
389,1.02516821
390,1.48486694
391,1.39670175
392,1.17112377
393,1.1285571
394,1.08325532
395,0.91677771
396,0.67706848
397,0.68147097
398,0.62158311
399,0.44477248
400,0.37875357
401,0.36472995
402,0.34289694
403,0.34467839
404,0.35634338
405,0.10168142
406,0.10663475
407,0.12687402
408,0.066224387
409,0.065846613
410,0.063622956
411,0.043865102
412,0.044011456
413,0.063695997
414,0.57274249
415,0.50745301
416,0.40990304
417,0.49834009
418,0.44952362
419,0.36582739
420,0.30775877
421,0.28349444
422,0.23372408
423,0.3123009
424,0.30011323
425,0.26330304
426,0.1930427
427,0.13398366
428,0.1048033
429,0.10777758
430,0.10385856
431,0.10264392
432,0.071276007
433,0.07025696
434,0.078139831
