ID,Target Pressure (bar)
0,0.096262701
1,0.088837514
2,0.094329579
3,0.066417392
4,0.058805569
5,0.053612622
6,0.05304398
7,0.046902009
8,0.061658007
9,0.70863634
10,0.47847234
11,0.29972748
12,0.93745829
13,0.55255233
14,0.36102586
15,0.52073598
16,0.32484517
17,0.19314043
18,0.26395752
19,0.2291375
20,0.17475067
21,0.13181802
22,0.10512972
23,0.090167126
24,0.17822531
25,0.14050523
26,0.084748555
27,0.14886905
28,0.16418203
29,0.21984261
30,0.10606287
31,0.078242388
32,0.10767375
33,0.085397794
34,0.078378109
35,0.12569717
36,0.86228916
37,0.82520316
38,0.68350025
39,0.92480105
40,0.8793611
41,0.87237248
42,0.47860312
43,0.47750762
44,0.46789853
45,0.45568612
46,0.4433666
47,0.43840727
48,0.29938589
49,0.32289822
50,0.24729593
51,0.17478157
52,0.165094
53,0.21150575
54,0.083914649
55,0.081096813
56,0.1185483
57,0.05787288
58,0.044604601
59,0.052585626
60,0.037861912
61,0.035948958
62,0.057356348
63,0.2210368
64,0.26438792
65,0.25510224
66,0.28736835
67,0.33197979
68,0.33346175
69,0.18413467
70,0.19143317
71,0.22289283
72,0.15556691
73,0.18599026
74,0.19604001
75,0.17506665
76,0.15071868
77,0.10142695
78,0.067342258
79,0.070212459
80,0.094898764
81,0.12928261
82,0.1259398
83,0.083863749
84,0.055820256
85,0.056699009
86,0.04246531
87,0.05482604
88,0.050772728
89,0.045726781
90,0.6812509
91,0.40888808
92,0.20033597
93,0.59273391
94,0.36467955
95,0.19176144
96,0.58155162
97,0.38898163
98,0.17935566
99,0.46297197
100,0.30832392
101,0.17575293
102,0.088822302
103,0.06805383
104,0.07219784
105,0.14653336
106,0.11994943
107,0.077704353
108,0.11695695
109,0.14215073
110,0.1569245
111,0.051321384
112,0.067250532
113,0.066662917
114,0.052921436
115,0.052462812
116,0.09180861
117,0.46904483
118,0.59253689
119,0.48521214
120,0.57088898
121,0.70732029
122,0.56767565
123,0.47872542
124,0.53030796
125,0.44834386
126,0.35531148
127,0.41999468
128,0.35116854
129,0.23066297
130,0.19017411
131,0.17502242
132,0.14537693
133,0.17715852
134,0.17034967
135,0.19119037
136,0.19686556
137,0.2252964
138,0.20313968
