ID,Target Pressure (bar)
0,0.12033724
1,0.10376943
2,0.10755642
3,0.088589983
4,0.079799214
5,0.071138431
6,0.069914499
7,0.061374913
8,0.07455138
9,0.68931391
10,0.48662173
11,0.34907152
12,0.76381661
13,0.54416283
14,0.38349587
15,0.51660804
16,0.37675313
17,0.27505358
18,0.29533859
19,0.24030027
20,0.18948381
21,0.15387476
22,0.14066423
23,0.12185454
24,0.1926822
25,0.15881326
26,0.12796669
27,0.14444722
28,0.1474977
29,0.17822402
30,0.11640894
31,0.10267718
32,0.095918668
33,0.077834636
34,0.07544134
35,0.096629896
36,0.528785
37,0.50954349
38,0.46186892
39,0.47401625
40,0.47862493
41,0.42764981
42,0.29464099
43,0.28688523
44,0.26583685
45,0.31318955
46,0.30991982
47,0.29772459
48,0.27983695
49,0.23211475
50,0.15463819
51,0.13450808
52,0.13363693
53,0.14208537
54,0.082246298
55,0.083160011
56,0.10931641
57,0.061476723
58,0.056713879
59,0.058935245
60,0.049515093
61,0.050768489
62,0.071483045
63,0.28214284
64,0.28320108
65,0.26975228
66,0.34528992
67,0.36688556
68,0.33737448
69,0.27276218
70,0.28722427
71,0.27076925
72,0.17528419
73,0.18366447
74,0.18309614
75,0.15828449
76,0.14983578
77,0.13111731
78,0.096871476
79,0.10328718
80,0.12008044
81,0.10834908
82,0.08924023
83,0.078302429
84,0.058265716
85,0.051805101
86,0.042417929
87,0.049398312
88,0.04183385
89,0.049485233
90,0.79920779
91,0.44728376
92,0.24144818
93,0.83787273
94,0.41943752
95,0.24680477
96,0.62724033
97,0.3753784
98,0.21714993
99,0.4084344
100,0.28296668
101,0.16822257
102,0.095834424
103,0.069701493
104,0.075030088
105,0.15302028
106,0.1145222
107,0.083127911
108,0.12995472
109,0.13948619
110,0.16764273
111,0.064188821
112,0.066741963
113,0.068047621
114,0.048804067
115,0.051749936
116,0.073665277
117,0.58235567
118,0.55798136
119,0.46588276
120,0.58823704
121,0.52095033
122,0.44406427
123,0.39100817
124,0.38745687
125,0.33076577
126,0.36758672
127,0.38945806
128,0.34556628
129,0.21733374
130,0.14342975
131,0.12952393
132,0.12307663
133,0.13260996
134,0.13470451
135,0.19409653
136,0.18121505
137,0.1924508
138,0.15281563
139,0.14859233
140,0.11147629
141,0.11291775
142,0.10204526
143,0.13771484
144,1.25756225
145,0.90807574
146,0.66069687
147,1.29397681
148,0.9177516
149,0.65583458
150,0.95590954
151,0.7246457
152,0.53408377
153,0.62247714
154,0.50270536
155,0.39401797
156,0.29889973
