ID,Target Pressure (bar)
0,0.069922276
1,0.078196317
2,0.078075704
3,0.061357927
4,0.060063075
5,0.058400589
6,0.048726659
7,0.051903004
8,0.056656344
9,0.42471109
10,0.33021779
11,0.23896668
12,0.71075897
13,0.4837694
14,0.32907642
15,0.46653996
16,0.34965351
17,0.25851799
18,0.19508672
19,0.16728655
20,0.12065328
21,0.11406464
22,0.10850197
23,0.10071509
24,0.1557962
25,0.13051495
26,0.10547277
27,0.12900149
28,0.13009875
29,0.13689027
30,0.083120453
31,0.07880301
32,0.080176572
33,0.057662975
34,0.056980099
35,0.059577375
36,0.59774072
37,0.5610132
38,0.52203526
39,0.58764022
40,0.53757708
41,0.50250688
42,0.2914266
43,0.27842971
44,0.27203801
45,0.35694851
46,0.33740321
47,0.32192853
48,0.31623936
49,0.21520507
50,0.11091141
51,0.11228136
52,0.10959027
53,0.11177708
54,0.077126397
55,0.085335035
56,0.10229266
57,0.054774962
58,0.057771687
59,0.062395708
60,0.0423604
61,0.048207816
62,0.059962866
63,0.26278695
64,0.2572164
65,0.25255312
66,0.40624977
67,0.39433363
68,0.36611858
69,0.26527661
70,0.26567329
71,0.27107082
72,0.16860732
73,0.16663839
74,0.16412804
75,0.16355117
76,0.15573145
77,0.11745231
78,0.098795922
79,0.10933658
80,0.11686976
81,0.11287217
82,0.10684167
83,0.091534988
84,0.059643465
85,0.051621596
86,0.04670039
87,0.046810696
88,0.045167058
89,0.046589051
90,0.64945731
91,0.39042818
92,0.22846297
93,0.62936352
94,0.35769827
95,0.21655417
96,0.52917887
97,0.32232659
98,0.21079891
99,0.36580748
100,0.24002215
101,0.13894162
102,0.13488922
103,0.078563014
104,0.076759326
105,0.14691032
106,0.10830552
107,0.079391802
108,0.10255492
109,0.12824675
110,0.13460084
111,0.049232983
112,0.051759467
113,0.053446032
114,0.037870642
115,0.04726617
116,0.061131387
117,0.40520509
118,0.40755799
119,0.31416947
120,0.48364801
121,0.43844896
122,0.33294667
123,0.2895605
124,0.29351663
125,0.24538884
126,0.27107947
127,0.27699061
128,0.20828061
129,0.20605163
130,0.11805068
131,0.10329017
132,0.096272127
133,0.11091594
134,0.1044081
135,0.19715556
136,0.19360618
137,0.19294379
138,0.16013534
139,0.13926979
140,0.13455595
141,0.12331118
142,0.11412905
143,0.12178423
144,1.206952
145,0.8328269
146,0.6614802
147,1.14385904
148,0.74403355
149,0.57773732
150,0.92380242
151,0.62996215
152,0.51205286
153,0.68534148
154,0.49834874
155,0.37423441
156,0.36433517
157,0.24943065
158,0.2264885
159,0.36680279
160,0.27173509
161,0.22691681
162,0.11437038
163,0.12456986
164,0.14870489
165,0.10449141
166,0.11416977
167,0.14584185
168,0.096535935
169,0.10478855
170,0.13860488
171,0.61734719
172,0.62644802
173,0.57190205
174,0.59537682
175,0.60521897
176,0.5585754
177,0.519446
178,0.53397351
179,0.5063057
180,0.28111139
181,0.29282992
182,0.28006243
183,0.2676477
184,0.25648135
185,0.23151549
186,0.20365243
187,0.21697183
188,0.22957524
189,0.058897068
190,0.057088029
191,0.057970508
192,0.038563119
193,0.039551792
194,0.044119417
195,0.033197725
196,0.034246709
197,0.03987208
198,0.27956926
199,0.23082951
200,0.1917428
201,0.2249104
202,0.18813798
203,0.16073551
204,0.18580408
205,0.15586649
206,0.13930106
207,0.15965165
208,0.13516014
209,0.10934456
210,0.10423635
211,0.075785357
212,0.06376739
213,0.068788038
214,0.063759841
215,0.06073172
216,0.098161076
217,0.11003967
218,0.097895978
219,0.084941703
220,0.085260178
221,0.076323989
222,0.061252722
223,0.064584751
224,0.059998846
225,0.57719711
226,0.46548628
227,0.27530745
228,0.63049941
229,0.46823005
230,0.2699951
231,0.53575464
232,0.42123193
233,0.25008364
234,0.30702582
235,0.25912353
236,0.1553179
237,0.14900962
238,0.11366596
239,0.095468699
240,0.18910976
241,0.156551
242,0.098818631
243,0.090542946
244,0.079485252
245,0.069902094
246,0.049433322
247,0.039885588
248,0.036963164
249,0.036771185
250,0.033515559
251,0.036238479
252,0.57331742
253,0.31239031
254,0.18688985
255,0.55540687
256,0.28460055
257,0.1761417
258,0.41153631
259,0.23265817
260,0.15869944
261,0.28932044
262,0.17733928
263,0.10563014
264,0.10353412
265,0.06242374
266,0.061687634
267,0.11366578
268,0.079682015
269,0.061319749
270,0.26457654
271,0.27137654
272,0.29506013
273,0.20848638
274,0.19682163
275,0.20677507
276,0.15469581
277,0.15359732
278,0.17843946
279,1.82325501
280,1.642441
281,1.51037519
282,3.57588046
283,3.05795769
284,2.85492847
285,1.35940929
286,1.22118129
287,1.21966949
288,0.75852484
289,0.71586303
290,0.68735631
291,0.69226037
292,0.77261503
293,0.41983637
294,0.38129651
295,0.3644193
296,0.39664356
297,0.12497568
298,0.12050628
299,0.118167
300,0.070038801
301,0.059724209
302,0.059210963
303,0.052382276
304,0.050332906
305,0.060954557
306,0.65854601
307,0.46352417
308,0.37024297
309,0.59354029
310,0.38232093
311,0.30592624
312,0.39125698
313,0.26024187
314,0.22387548
315,0.38318028
316,0.28132289
317,0.21378994
318,0.21065892
319,0.12121738
320,0.10425867
321,0.1405458
322,0.11220877
323,0.10575558
324,0.084746568
325,0.083887002
326,0.077425453
327,0.044622755
328,0.039446488
329,0.037468406
330,0.034823363
331,0.03328813
332,0.035829343
333,0.36516203
334,0.28526
335,0.21222932
336,0.32027156
337,0.23030224
338,0.17661827
339,0.26494342
340,0.19362298
341,0.1543734
342,0.24727177
343,0.19157601
344,0.13577623
345,0.13179696
346,0.073938739
347,0.069445838
348,0.10288241
349,0.082659019
350,0.07087239
351,0.08112083
352,0.082735164
353,0.083566626
354,0.054561865
355,0.058975275
356,0.067422052
357,0.048204539
358,0.055748621
359,0.065136835
360,0.53256724
361,0.44927774
362,0.30577608
363,0.45297505
364,0.40884482
365,0.29821817
366,0.40122274
367,0.37535223
368,0.27334179
369,0.24626836
370,0.20370579
371,0.1383378
372,0.13572879
373,0.1131455
374,0.1046136
375,0.12441964
376,0.12485648
377,0.1037936
378,0.14182367
379,0.14710629
380,0.15527748
381,0.14370799
382,0.14221566
383,0.14504295
384,0.11500889
385,0.11627536
386,0.12076262
387,1.46425273
388,1.21947799
389,1.06019611
390,1.75220394
391,1.44703728
392,1.23533566
393,1.39324304
394,1.13509011
395,0.98021579
396,0.54143575
397,0.51178297
398,0.4635979
399,0.46437599
400,0.43262299
401,0.32327508
402,0.37727901
403,0.35224977
404,0.32190669
405,0.12451716
406,0.12920072
407,0.14700913
408,0.069834149
409,0.065540926
410,0.06709181
411,0.055343086
412,0.053415212
413,0.063711716
414,0.55777366
415,0.51559884
416,0.44986639
417,0.59946584
418,0.5353253
419,0.46063663
420,0.35430499
421,0.32444844
422,0.28715766
423,0.33846427
424,0.31603842
425,0.2855376
426,0.27861219
427,0.18061733
428,0.12661055
429,0.1195838
430,0.11464304
431,0.12023143
432,0.054355026
433,0.049844673
434,0.052192014
435,0.046636035
436,0.044163257
437,0.051750521
438,0.041433794
439,0.039402232
440,0.048179935
441,0.33909147
442,0.26366453
443,0.20369049
444,0.33102753
445,0.2587608
446,0.20971393
447,0.27024777
448,0.2179247
449,0.1877387
450,0.15359018
451,0.12732402
452,0.098919083
453,0.097755697
454,0.095859984
455,0.08717089
456,0.10370077
457,0.093702677
458,0.087290058
459,0.11099532
460,0.12603909
461,0.11401432
462,0.071253642
463,0.069060973
464,0.063174493
465,0.046425062
466,0.048803362
467,0.051074947
468,0.37404175
469,0.35543036
470,0.24351074
471,0.39750458
472,0.33105048
473,0.22409506
474,0.34756885
475,0.30304534
476,0.22058013
477,0.28486929
478,0.26405177
479,0.17575809
480,0.17081374
481,0.11129372
482,0.094882502
483,0.13461364
484,0.12159658
485,0.094406949
486,0.099667512
487,0.093769999
488,0.096081619
489,0.060655362
490,0.055377023
491,0.054139746
492,0.050342505
493,0.047034981
494,0.047220116
495,0.41968303
496,0.37882586
497,0.36276057
498,0.34099982
499,0.30393735
500,0.28748781
501,0.26104411
502,0.23693776
503,0.23132307
504,0.25951551
505,0.23548745
506,0.22581261
507,0.22005684
508,0.12599057
509,0.093304607
510,0.10190905
511,0.093940943
512,0.092955002
513,0.08382195
514,0.090784903
515,0.087113201
516,0.053834921
517,0.049776239
518,0.04750471
519,0.031286539
520,0.034322258
521,0.038076309
522,0.6271977
523,0.42711898
524,0.26121296
525,0.91876586
526,0.54960414
527,0.32436321
528,0.3670752
529,0.26510159
530,0.18850456
531,0.25499669
532,0.20075126
533,0.1310604
534,0.131099
535,0.095422615
536,0.067990313
537,0.0933531
538,0.084114418
539,0.067176469
540,0.16411903
541,0.16995507
542,0.18960886
543,0.10792361
544,0.10479676
545,0.11360743
546,0.077927775
547,0.079703535
548,0.092619645
549,1.18209827
550,1.04703908
551,0.91413933
552,0.96311334
553,0.85662409
554,0.77994254
555,0.55693014
556,0.5174491
557,0.49535536
558,0.52683381
559,0.49806468
560,0.45358384
561,0.45237324
562,0.27717119
563,0.18508187
564,0.17351205
565,0.17263469
566,0.17998249
567,0.050745574
568,0.049426742
569,0.054137353
570,0.031373441
571,0.033690161
572,0.042201801
573,0.028308103
574,0.03154289
575,0.043903936
576,0.25785698
577,0.23409436
578,0.19316481
579,0.20174553
580,0.19090278
581,0.1661819
582,0.15868059
583,0.16185637
584,0.15499139
585,0.14730649
586,0.12757011
587,0.1026517
588,0.10181272
589,0.075272258
590,0.071147318
591,0.06300613
592,0.069209554
593,0.071082287
594,0.10561844
595,0.13689848
596,0.12722538
597,0.06084039
598,0.067556528
599,0.063077822
600,0.0417895
601,0.056729253
602,0.061117974
603,0.65686696
604,0.6615482
605,0.43843031
606,0.63927894
607,0.58745567
608,0.38552591
609,0.39528708
610,0.40673449
611,0.28921092
612,0.32760543
613,0.32465261
614,0.22177283
615,0.21941899
616,0.12425603
617,0.11369414
618,0.12044984
619,0.13929202
620,0.11343455
621,0.17996392
622,0.173173
623,0.12971771
624,0.14626381
625,0.15164158
626,0.11957027
627,0.11968038
628,0.13625937
629,0.11125866
630,1.25352832
631,0.6555804
632,0.37353867
633,1.0967078
634,0.59754493
635,0.34977007
636,1.02619938
637,0.5883792
638,0.34307965
639,0.59558918
640,0.30537965
641,0.17583853
642,0.1746291
643,0.16219165
644,0.15146245
645,0.36374389
646,0.23531224
647,0.1513426
648,0.092038758
649,0.097899684
650,0.10948235
651,0.070147122
652,0.070312388
653,0.074688606
654,0.054675594
655,0.05738615
656,0.066118235
657,0.43455632
658,0.4331162
659,0.42515978
660,0.38604513
661,0.37690162
662,0.36630968
663,0.3049148
664,0.30456956
