ID,Target Pressure (bar)
0,0.12072454
1,0.10036182
2,0.083695106
3,0.094443135
4,0.07883951
5,0.06601102
6,0.074290246
7,0.062262572
8,0.05233176
9,0.6822394
10,0.5492739
11,0.44412655
12,0.51153046
13,0.41418457
14,0.33673343
15,0.38643557
16,0.31458896
17,0.2570936
18,0.28866792
19,0.23628709
20,0.19412224
21,0.18930334
22,0.14656124
23,0.11414857
24,0.16564278
25,0.13695087
26,0.11360483
27,0.14211269
28,0.13622393
29,0.13060091
30,0.08585154
31,0.082453854
32,0.07920263
33,0.05305068
34,0.051041353
35,0.049114954
36,0.83588713
37,0.79519504
38,0.75665885
39,0.46238473
40,0.44105345
41,0.42079347
42,0.2638261
43,0.25226042
44,0.24124674
45,0.34635165
46,0.33078757
47,0.31598493
48,0.30778152
49,0.17922872
50,0.10711446
51,0.11581974
52,0.11110916
53,0.10660724
54,0.09714976
55,0.091811374
56,0.08679203
57,0.064771116
58,0.06134008
59,0.05810677
60,0.043826334
61,0.041585475
62,0.03946928
63,0.588747
64,0.55068934
65,0.5153049
66,0.36506015
67,0.3424551
68,0.32137147
69,0.2310243
70,0.21729673
71,0.20445599
72,0.23969933
73,0.22540887
74,0.21204463
75,0.20673786
76,0.13389684
77,0.08819945
78,0.09827787
79,0.09287186
80,0.08778927
81,0.11045396
82,0.09053461
83,0.07447675
84,0.08658179
85,0.07128228
86,0.058889877
87,0.06823702
88,0.05641742
89,0.046800014
90,0.6560553
91,0.5189589
92,0.41257563
93,0.49240747
94,0.39190143
95,0.3133978
96,0.3723546
97,0.2980802
98,0.23970304
99,0.2701475
100,0.21766935
101,0.17613506
102,0.17180163
103,0.13331445
104,0.10405726
105,0.15553363
106,0.12667277
107,0.10356584
108,0.13951291
109,0.11756035
110,0.09932892
111,0.089211114
112,0.07569703
113,0.06438952
114,0.05807617
115,0.049594864
116,0.04244927
117,0.874604
118,0.71401334
119,0.58510965
120,0.5155127
121,0.42494643
122,0.35149083
123,0.31149733
124,0.25904
125,0.21608934
126,0.35010368
127,0.2905624
