ID,Target Pressure (bar)
0,0.08127254
1,0.08333325
2,0.08408735
3,0.06865243
4,0.0648231
5,0.06989388
6,0.05393665
7,0.054800093
8,0.06713679
9,0.621995
10,0.47027212
11,0.31400213
12,0.9565644
13,0.5786497
14,0.35867128
15,0.5780632
16,0.38602087
17,0.25851762
18,0.21502982
19,0.17835139
20,0.12825294
21,0.12540138
22,0.12147636
23,0.12243818
24,0.17386355
25,0.13587193
26,0.12067715
27,0.13112156
28,0.13291813
29,0.13704617
30,0.07306175
31,0.07139213
32,0.07258253
33,0.05908549
34,0.06391441
35,0.0707674
36,0.61709404
37,0.57621807
38,0.5285941
39,0.64160264
40,0.5998139
41,0.557067
42,0.3290431
43,0.31898633
44,0.3075461
45,0.31571183
46,0.29642427
47,0.27512586
48,0.26813775
49,0.23062547
50,0.14107245
51,0.12286828
52,0.12574802
53,0.13578892
54,0.08532087
55,0.09033766
56,0.10074411
57,0.047351893
58,0.046738435
59,0.048702724
60,0.04315632
61,0.04732046
62,0.057636846
63,0.268034
64,0.27262887
65,0.27195212
66,0.41237155
67,0.3959782
68,0.36917463
69,0.28841087
70,0.2863912
71,0.2796022
72,0.19369504
73,0.1951824
74,0.18347801
75,0.17712235
76,0.13465524
77,0.10926113
78,0.09335886
79,0.09615883
80,0.10521562
81,0.12309095
82,0.13174157
83,0.1037029
84,0.06600553
85,0.05774238
86,0.051580496
87,0.047077507
88,0.045452584
89,0.055670194
90,0.7134618
91,0.4447475
92,0.2338228
93,0.6900267
94,0.3889635
95,0.2531041
96,0.58263004
97,0.35698313
98,0.24222516
99,0.42464864
100,0.31629294
101,0.15396409
102,0.14095667
103,0.08270523
104,0.09448723
105,0.15606965
106,0.11290531
107,0.09526469
108,0.1439613
109,0.17514595
110,0.21302386
111,0.06417296
112,0.0693447
113,0.0810909
114,0.06274234
115,0.07349851
116,0.10877141
117,0.4753754
118,0.4779899
119,0.43538028
120,0.7141015
121,0.6475189
122,0.54459125
123,0.6303532
124,0.65278953
125,0.6000725
126,0.413409
127,0.434793
128,0.3203279
129,0.3054551
130,0.18154144
131,0.2068487
132,0.18203963
133,0.19692016
134,0.20514838
135,0.20141499
136,0.2011417
137,0.1951377
138,0.16536005
139,0.1568962
140,0.14144942
141,0.13961661
142,0.12229198
143,0.14084393
144,1.196079
145,0.84048694
146,0.6268734
147,1.200803
148,0.8009224
149,0.567664
150,1.0550948
151,0.6969144
152,0.5571814
153,0.694075
154,0.48323065
155,0.36293724
156,0.3437656
157,0.25900808
158,0.26806378
